id,ref
1,எனக்கு வரைய பிடிக்காத நாள்னு ஒன்னுமே இல்ல எதாவுது ஒரு படோம் வரையும் போது வந்து எதாவுது வீட்டுல எதாவுது வேலை சொன்னாங்கனா அப்ப எனக்கு கோவம் வரும் ஏன்னும் மோது நம்ம ஒரு படத்த வந்து இன்ட்ரெஸ்ட்டா வரையணும் வரையும் போது
2,அதுக்கேத்த மாரி வந்து ஒரு இந்த வேல செய்யி அந்த வேல செய்யின்னு சொல்லி சொல்லம் போது வந்து நம்ம அத வந்து ஃபுல்லாவே ஃபினிஷிங்கா பண்ண முடியாது
3,இதுனால வந்து கொஞ்சோம் அதிகமா கோவப்பட்ருக்கேன் ஆனா வந்து எங்க வீட்டுக்காரவங்க வந்து
4,நீ வந்து ஒனக்கு ஒ எதுல வந்து ஒனக்கு இன்ட்ரெஸ்ட்டா இருக்குதோ அத நீ பண்ணு அப்டினு சொல்லி அவுங்க ஃபுல் சப்போர்ட் வந்து பண்ணுவாங்க
5,அது அவுங்க சப்போர்ட் இருக்குறதுனால வந்து நா அத பெருசா எதையுமே கண்டுக்க மாட்டேன் நா இப்போதைக்கி வந்து நா நெறைய ட்ராயிங் வந்து வரைஞ்சி வச்சிருக்கேன் அத பாக்கும் போதுலாம் வந்து இது நம்ம வரைஞ்ச படோம் அப்டினு சொல்லி நா என் கொழந்தைங்க கிட்டையும் காமிச்சிட்டு நா ரொம்ப சந்தோஷப்படுவேன்
6,இதுனால வந்து எனக்கும் ஒரு வேலை மத்த எந்த வேலையா இருந்தாலும் நா அது ஃபர்ஸ்ட்டு வந்து ட்ராயிங் வந்து வரைஞ்சிட்டுதான் வந்து அதுக்கு ஏத்தா மாரி வந்து நா அந்த வேலைய வந்து செய்வேன் இதுனால வந்து யார் என்ன சொன்னாலும் பரவாயில்லன்ற மாரி அத அக்செப்ட் பண்ணிட்டு நா போயிட்டே இருப்பேன்
7,நா வந்து சின்ன கொழந்தையா இருக்கும் போதுலேந்தே சின்ன வயசுலேருந்தே வந்து நா வந்து கார்டனிங் வந்து தோட்டமிடுறதுக்கு வந்து ஆரமிச்சிட்டேன் ஏன்னா எனக்கு செடி வளக்குறது வந்து அப்பையிலேந்தே ரொம்ப புடிக்கும் அதேமாரி வந்து
8,சின்ன சின்ன செடி பூச்செடிகள் அந்தமாரிலாம் நா வளக்க ஆரமிச்சேன் அது மட்டும் இல்லாம தாவரங்கள் வந்து ரெண்டு தாவரங்கள் ஒன்னு ஒட்டு ஒட்டு விதை தாவரங்கள் அந்தமாரிலாம் வந்து சின்ன புள்ளையிலே வந்து பாத்து
9,நா யூட்யூப்லாம் பாப்பேன் அம்மாவோட மொபைல்ல அதுல பாத்து தான் இது வளக்க ஆரமிச்சேன் அதேமாரி மாடித்தோட்டம் வைக்கிறது வந்து எனக்கு ரொம்ப புடிக்கும் பக்கத்து வீட்டுல உள்ளவங்களலாம் பாத்து ஒரு மாரி இன்ஸ்பயராயிதான் நா அது வளக்க ஆரமிச்சேன் எனக்கு ரொம்ப புடிக்கும் மாடித்தோட்டம்லாம் அதேமாதிரி
10,மாடித்தோட்டத்துலே எப்டின்னா கொடியா வளரும்ல தாவரங்கள் பாகற்காய் பீர்கங்காய் புடலங்காய் அந்தமாதிரி அது மட்டும் இல்லாம குத்துச்செடி மல்லியப்பூ அந்தமாதிரி அப்பறம் தக்காளி
11,மிளகாய் அந்த செடி எல்லாமே வந்து சின்ன கொழந்தையாருக்கும் போதே வளக்க ஆரமிச்சிட்டேன் இப்பவும் லாக்டவுன் அந்த பீரியட்லலாமுமே வந்து நா தோட்டமிட ஆரமிச்சேன் எனக்கு வந்து எப்போதுமே தோட்டம் வந்து பக்கத்துல உள்ளவங்கள பாத்து பாத்து எனக்கு அத மாரி இருந்தா ரொம்ப புடிக்கும் அதுனால நா வந்து தோட்டமிடுறது வந்து ரொம்ப புடிக்கும் அதுனால வளக்க ஆரமிச்சிட்டேன்
12,குட் டயட் கருப்பு அரிசி விலை சந்தை விலைக்கு ஏற்றவாறு இல்லை
13,ஹலோ
14,ஆ ஆமா ப்ரோ
15,ஆ ஆமா ஆமா சொல்லுங்க என்னா விஷியம்
16,ஆ
17,ஆ நா ஈவினிங் போல வர்றேன் ப்ரோ இப்ப வேற ஒர்க்ல இருக்கேன்
18,ஆ அதான் ஈவினிங் போல வர்றேன்
19,ஆ சேரி ஓகே
20,ஆ புதுசா இப்ப கிராம்ப்டன்ல டுவென்டி ஃபோர் வாட்ஸ்ல வந்துருக்கு
21,கிராம்ப்டன்ல டுவென்டி ஃபோர் வாட்ஸ் வந்துருக்கு மெட்ரோ கம்பெனில வந்து ஒன்னு டுவென்டி டூ வாட்ஸ்ல ஒன்னு வந்துருக்கு நீங்க எது விருப்பப்பட்றீங்களோ அதே போட்லாம் கம்மி ரேன்ட்ல வேணுமா இல்ல உங்களுக்கு ஹை பட்ஜட்ல வேணுமா
22,ஆவரேஜே நீங்க மெட்ரோவே போட்டுக்கங்க மெட்ரோ நூத்தி தொண்ணூறுவாக்கிட்ட தான் வரும்
23,ஆ உங்களுக்கு எத்தன லைட்டு வேணும்
24,நானூறுவா அந்த எமெர்ஜென்சி லைட்டு சொல்றீங்களா
25,ஆ எனர்ஜி சேவிங் சரிங்க அதுல ஆர்பிட் கம்பெனிலையும் இருக்கு கிராம்ப்டன்லையும் இருக்கு உங்களுக்கு எதுமேரி வேணும்
