id,w2v
1, எ ன க்கு   வ ரை ய   பி டி க்கா த   நா ன ன் னு  ஒ ண் ணு மே  இ ல் ல   எ தா வ து  ஒ ரு   ப ட ம்   வ ரை யு ம் போ து  வ ந் து   ஏ தா வ து   ஒ   வீ ட் ல  ஏ தா வ து  வே ல  சொ ன் னு ங்கன ா  அ ப் ப  எ ன க் கு   ஒ ரு   ஏ ன மோ து   ஒ ர ப ட த் த   வ ந் து   இ ன்ட் ர ஸ் டா   வ ரை ம் போ து   
2, அ து   கே ட் ட   மா த ி ரி   வ ந் து   ஒ ரு   இ ந் த  வே லை  செ ய் ய  அ ந்த  வே லை  செ ய் யு ம் ச  சொ ல் லு ம ் போ து   வ ந் து   ந ம்ம   அ து  வ ந் து பு ல் லா வே   பி னி ஷி ங் கா  ப ண் ண  மு டி யா து   
3, இ த னா ல  வ ந்து   கொ ஞ் ச ம்   அ தி க மா   கோ ப்பு ட்ட ரு ் க   ஆ னா   வ ந்து   எ ங்க  வீ ட்டுக்கு ரு ம்   வ ந் து   
4, நீ  வ ந் து   உ ன க் கு எ து ல  உ ந் து   உ ன க் கு  இன்ட்ர ஸ ஸ் டா ரு க து   அ த  நீ   ப ண் ணு  அ ப் டி ன்னு சொ ல் லி  அவ ங்க   ஃபு ல்   ச ப் போர்ட்   வ ந் து  ப ண் ணு வா ங்க   
5, அ அ வ ங் க   ச ப் போ ட்ட ருக்கி ற து னா ல   வ ந்து   நா ன் அ து   பெ ரி சா வ ம்  எ தி யு மே  க ண்டு க மா ட்டே ன்   நா இ ப் ப த் தி க்கே   வ ந் து  நா ன் நி றை ய  டி ரா  இ ங்  வ ந் து  வ றி ஞ் சு  வ ச் சி ருக் கே ன்   அ து   பா க்கு ம் போ தெ ல்லாம்  வ ந் து  இ து  ந ம்ம   வ றி ஞ் ச ப டு ம்  அப் டி ன்னு  சொ ல் லி   நான்   ்  கு ழ ந் தை கிட்டி  கா மி ச் சு ட்டு  நா ன ் ரொ ம்ப  ச ந் தோ ச ப ்ப டு வே ன்   
6, இ த னா லு   வ ந்து   எ ன க்கு   ஒ ரு   வே ல   ம த் த   எ ந் த   வே லை   இ ரு ந் தா லு ம்   நா அ து   ஃப ர் ஸ்ட்   வ ந்து   டி ரா ய ன்   வ ந் து   வ ர ஞ் சு ட் டு தா ன்   வந து  அ து   கே ட் ட   மா ரி  வ ந் து   நா ன்   அந த  வே லை   வ ந் து   செ ய் வே ன்   இ த னா லு ம்  வ ் து   யா ர்   எ ன்ன  சொ ன் னா லு ம்   ப ர வா ல்ல ன் ற   மா ி ரி   அ த   அ க் ச ்  ப ண் ணி ட்டு   நான ்  போ யி ட்டே  இ ரு ப் பே ன   
7, அ ந்த  சி ன் ன  கு ழ ம்தை யா ரு க்கு ம்  போ து னே ந்து   சி ன்ன  வ ய சு ல ர ந் தே   வ ந்ு  நான ந்து   கா ட லி ன்   க ண்து  தோ ட்ட மி ட்ட ருக்கு து  ஆ ர ம்ப சி ட்தே ன்   ஏ எ ன் ன  இருக்க து  செ டி வ ளு க் கா து  அ ப் ப ி ர ந்தே  ரொ ம் ப  பு டி க்க றோ ம்   அ தே  மா திரி   இ ந் து   
8, சின ன சி ன ச டி   பூ ச் சி டி க ள்   அ ந்த  மாதிரி  ான ் வ ழ க்கா ர ச் சே ன்   அ து  ம ட் டு ம்   த ம ல்   தா வ ர ங்க ந்து   ரெ ண் டு  தா வ ர ங்க ளு ம்   பொ ட் டு   ஒ ட் டு ி டி ல்  அ வ ர் க ள்   அ ந்த  மா ிரி லா   ம்  சி ன்ன   ப ள லே  வ ந்து  பா த்து   
9, ஐ யூ  டியூப் ிளா ம்  மா த் பே ம் மா ட ம்  ம பை ல்லா க  பா த்து து  வ ள க்கா ர ம் ச்சு  அ து  மா ரி  மா டித   தோ ட்ட ம்  வைக்க ல த ரு ந்தே   நே க்க  ரொ ம்ப  பி டி க்கு ம்   ப க்க த்துக க க் ு  உ ள் ள வ ங்க ல்லாம்  பா த்து வ ரு  மா ரி  இ ன்ஸ் பைய ர் ஆ யி டா ன  ந த்  வ ழ க்கா ர ம் ச்சு  எ ன க்கு ரொம்ப  புடிக்கும் மா டி   தோ ட் ட ம் தா ன்   அ தே  மா தி ரி   
10, உம ம் ப டி த்  தோ ட த்தி ல  இ ப் தி னா ல   ஒ டி ய  வ ல ங் க ல  தா வ ர ங்க ள்   பா க ் கா ய் ் தி ருக்கா ங்க ள ப் பு வ ள ங்க  அ ந்த  மா தி ரி   அ து  ம ட் டும ல்லா ம ல   கு ் ச ் சி றி ய ல்   ம ல்லி   போ ்   அ ந்த  மா தி ரி   ப்ப ட த் த க் கா ளி   
11, வி ன கா ந்த ச டி நா   மீ ன வ ந்து  சின்ன  கு ழ ந்பை  இ ருக்கு  மோ டி  உ ள க்கா ர ந் பிச்சு ட்டே ன்   இ ப் ப மு ்  உ ள் ள   லா து ம்   அந்த   தெ ரிய ல்ல நா  மு னே ம் தே  அ ் தோ ட்ட ்  ஆ ர ம்பிச்ச்ட ன்   இ ன க்கு  வந் து  எ ப் போ து மே   தோ ட் க ம்   ர ந் து  ப க்க த்து ல  உள் ள   உ ் ள   பா த்து  பா த் து   இ த ல   மா ரி  இது ் மா  ரொம்ப  புடிக்கு ம்  அ ந னா   ா ் அந்த  தோ ட்ட ம ட் ந்து  ரொ ம்ப  பு டிக்கும் அத னால   வ ள க்கா ர ந் பி ச்சு ட்டே ன்   
12, கு ட்   டை ய ட்   க ரு ப் பு   அ ரி சி   வி லை   ச ந் தை   வி லை க் கு   ஏ ற் ற வா று   இ ல் லை   
13, த் ்  
14, ஆ வ ப் து ்    
15,ஆ மா மா   சொ ல்லுங்க  எத் ை க்கு   
16, ஆ ்   
17, ஆஹ ்   நா ்   ஆஹ ்   ஈ வ் னி ங்   போ ல  வ ரே ம் போ   இ ப்ப  வே ற  ஒ ர்க் ல  இ ருக்க ன்   
18,ஆ ஹ தா ன ் ஈ வ் னி ங்  போ ல ம்   
19, ஆஹ ்   செ ரி ி ்   
20, ்   பு து சா   இப் ப க   கி ரா ம் ட ன் ல  டு வென்ட்டி  ஃபோ ர் வா ட்ட ல  வ ந்து ரு க்கு   
21, கி ரா ம் த ர் ல  டுென்ட்டி ஃபோ ர் ஆா ஸ்  வந்து ருக்கு   மெ ட் ரோ   க ம் பெ னி ல  வ ந்து   ் ன  டுவென்ட்டி   டூ  வார்ஸ் லோ ன் ு  வ ந்து ருக்கு   நீ ங் க  எ து   வி ருப்ப  போ றீ ங்க ளா  அதே  போ ல  க ம்மி   ரெண்ட் ல  ருந்குமா  இல்ல  உங்க ்  ஹை  ப ட்ஜெட் ல  வ ரு மா ம்  
22,ஆ ர ர   எ தே   டு வ ள ன் ன ு நீங்க  மெ ட் ரோ வே  போ ட் டு ங்க  மெ ட் ரோ   நூ த்தி  தொ ண்ணூறு வா  கிட்டா  தான் வ ரு ம்   
23, ஆஹ   ஓ கே ் எ த்த ன  லை ட்  இருக்க ணு ம்   
24, நா னூ று வா  அ ந்த  எ ம ர் ஜெ ன் சி   லை ட்டுக்கோ றீ ங்களா   
25, ஆஹ ்  எ ன்ன ர் ஜி   செ ர் றீ ங்க  அ து   ஆ ர் பி ட்  க ம் பெ னி ல  இ ருக்கு   கிரா ம் த ன் லி  இ ருக்கு   உ ங்க ளுக்கு  எ து  மா ரி  வி ரு ம்  
26,ஆ ர்  வீட் லயே  குடுத்து டு வா   அ து  நா ்   நா னூ ரூ வா   ன து  நா னூ த் து  எ ம் ப து ரூ வா ் கி ட்ட  வ ரு வா ர்   
27, அ து   ன்ன   நா ல்  ம ணி நே ர ம்  நீ ங்க   ஜா ர்ஜ்  போ ட்டு  வ ச்சு ர ுக்கீ ங் க   சி க்ஸ்   ஹ வ ர் ஸ்   பே க் க ப்  கு டு ப் போ ம்   
28,ஆஹ ்   அ து   நா ர் ம ல  நீ ங்க  கா ப்ப ர்  வ ச்சு  கூட  யூ ஸ்  ப ண்ணி க வோ ம்   
29,ஆஹ ்  நீ ங்க  கா ர் ஜ   போ ட்டு  ஓ ர்  நா ள் ம னா ர ்  கா ி  போ ட்டு வ த்து  வ ச்சி ருந்தீ ங்க னா  க ர ந்த  போ ய்ட்ட னா  அ து வா  எ ரி யு ம்   
30, அ துக்கு  லை ட்  ஆ ண் ல ே  இ ருக்க ணு ம் அப் டி ன் னா  ஆ வ சிய ம் இல்ல  ஃபர்ஸ்ட   நீ  ஜா ர் ஜ்   போ டு ற வர க்கு  ஓர்  நா ல்  ம ணி நே ர ம்   நே ர ஞ்ஜ்  போடு ற துக்கும் லை ட்ட  எ ரிஞ்ச சா  போ து ம்   அ துக்க ப்புறம் நீங்க ஆ ஃப ் நீ ங்க  க ர ண்ட்  போ னும் னு  நீங்க ஆ ன் பண் ணா  கூட   து  லை ட் 
31, அ ந்த   கி ச் ச ஆஹ ்   அ து   ஏ ரி ய ம்   
32, அதெ ல்லாம் நீ ங்   நா ன ்  ஈ வ் னிங்  போ ல   வ ரேன் இப்ப   நா ன ்   ஓ ர்  வொர்க் கா  இரு க்க  அ  மு டிச்சுர லா  அவ ன்  ஈ வ்னிங ்  போ ல வ   பா த்து  குடுத்து றேன் நீங க  லொக ்கே ஷ ன் மட்டும் அனு ்து ரு   
33, ம ் தே ்   
34, அ லை யா க ட் டு ம்   கை  வி ணை ப்  பொ ரு ள் க ளா வி ட் டு ம்   மு த லி ல்   எ ல் லா மே   கை க ளா ல  வ ற ஞ் சு   
35, அ து  வ ந் து   செ ஞ் சி வி ட்டி ரு ந் தா ங் க   இ ப் ப ல ல   உ க லா பி ய எ ல உ ல க த் தி ல   இரு க்கு ற  எ ல்லா த் தை யு மே  பா த் து வி ட் ட ு   த் ரீ டி  ஆ ட் டு  வ ந் து ரு ச் சு   த் ரீ டி மா தி ரி யே  இ ப ப   ந ம்ம   நெ ச் சு மா வை   பா க்க ற   மா தி ரி யே  எ ல் லா மே   
36, செ ய் ய   அ ர ம்பிச்சி ட்டா ங்க   அ தே   மா தி ரி   மொ த ல ல் லா   கு ரு கு ள  மா தி ரி   இ ன் னொ ரு   தொ ங் கி ட்ட   போ ய்   அ வ ங் க  வீ ட் ல யே  இ ரு ந் து   அ வ ங்க ளுக்கா ன   ப ணி  வி டி க ள்   செ ய் து தா   க லை க ளை  க த்துகி ட்டு ரு ந் தா ங்க   இ ப் ப ல்லாம்  அ ப் ப டி ய ல்ல   
37, ப ள் ளி ப  ப டி க்கி ற  மா தி ரி   பா ட ம் ப டி க்கி ற  மா தி ரி   க லை க ளு க் கா ன   ப ள் ளி க ளு ம்   தி ற க்க ப் ப ற் டு ச் சு   நி றை ய  இ ட த்தி ல்  இ ப   க லை க ள்  க த்து க்கி ற து க் கா க   
38, க ல் லூ ரி க ள்   ப ள் ளி க ள்   க ல் லூ ரி க ள்  எ ல் லா மே   வ ந் தி ரு ச் சு  அ து ல   போ ய்   க த்து கி ட் டு   இ ப் ப   
39, ப டி க்க  மு டி யா த ு ம்னு நெ னை ச் ச வ ங்க கூ ட  எ ல் லா மே   க லை க ளை   க த் துக்கு  ஆ ர ம் பிச்சி ட்டா ங்க   ந தை ம றி  கை வி ணை ய ப   பு ரு ளு ்க ளு  ஓ ப் ி தா ன்   இ ப்ப   டி ஜி ட்ட ல்   ஆ ர் டு  வ ந் தி ரு ச் சு   த ல்  எ ல் லா மே   
40, கை யி ல  வ ர ஞ ் சு   மு க் க   பா த்து தா ன் ப டி ச்சி ிட்டு ரு ந்தா ங்க   பி ல   க ணி ப்பு ரி   ூ ல மா   வ ந் து   தெ ரி யா த வ ங் க   கூ ட  க ணி ப்பு ரி   மூ ல மா   க த்து வி ட் டு   அ தை  எ ல் லா மே  செ ய் ய  ஆ ர ம்பிச்சு ட்டா ங்க   
41,ஹ லோ  ஆஹ  சொல்லு ங்க     
42, போ ன் போ   போ னோ ்  எ ப் ப   சா ர்   எ ன்ன க்கிழ ம   
43, எ ங்க த த ் க ் ்  
44, ஆ ்  எ ப்பு  ச ர் குடுத்தி  எ ப்போ னோ ரு மா ா ்  
45, போ ன  வா ரு ம்  ஒ ரே     ந்த   ம்   கோ யில் ப ன் ன் டா சா ர்  ஒ ர்  ப ந்த  கொ ட த் ்து போட்டு  சா ப்புடுச்சுட்டா ங்க   சா ஷ ன்  க த தா ம்   க ம்பி யூட்ட ்   
46, ரி  ச ரி  ச ரி   நீ  நீ ங் க   
47,  ஓ ர்  நா ள்   ர னிக் கு   இன்னி க்கு  என்ன  திங்க ் கி ழ மை   பு த ம்கி ழ ங்க  போ ல   நே ர டியா வந்து கம்பெனி  குடுக் றீங்களா  அ ந்த   பா க்ஸ்  வெட் ர வா ங்க   ஃபோ ன்  வாங்குன  பா க்ஸ்   
48, எ ந்த இரு லு  ச ர்  தொ ல்ச்சி ங்க   
49, அ ந் த  ஏ ரிய ல  அ ந்த  கு ண   சே க ர ன் ர  ம ட்டும் தான் ஃபோ ன்   டுரு டு வா ன்   நா ன ் அ வ ன ்  புடி ச்சு  வி சா ரி ச்சு  பா க்கு றே ன்   
50, அ நி ங் க ரோ ்   
51, நீ ்   எ டுத்து ு வா ங் க   ய வ னா  தொ ல ச்   கே ர ள   சா ர ்க ு   போ லீ ஸ் க ்  புட ்ச ப் டி   பா க்ஸ்  எ டுத்து ாங்  ச  நா ளைக்கு   ந ா   டுத்து த்த   
52,அது  தான் பு த ன்கி ழம  வரு ஷ ம் ஒ ம் பு தன் கிழம  அ ங்க தான் இருப ்போங்   நீங்க  வ ந்து  நே ர ் க  பா ரு ங்க   க ண்   
53, ப் ப தி ன் ம டி ் கு ட் வா ங் க ளா ன்  க ட்டா ர ம்   
54, ஆஹ ்   ம ் கா ்  பா க் ் ்   
55, ப த் து  உ ங்களு க்கு வே ல  ஆயி து   ப ்   ஓ ர்  வா ள யே  பா க்க  மு டியா து  சா ர்   என் ன   எ ன்னா ல   அ வ ங்    வே ற ்  போய்  தே ர ணு ம்  பு டி க்க ணு ம்   அ வ ங்  கு ட்டு   அப்ப ற ம்  ங்களுக்கு  அ வ ன  கூ்ட ா  வே ல  தெ ரிஞ்சு ரு ம்  ஃபோ ன்  யா ர  வ த்து ருப்பாங்க ன் ட்டு 
56, ஆஹ ்   நீ ங்க   நா லா  போ ன்க் கி ழம  ஓ ர் பை ன  முன்  ப ல  வந்து ரு ங்க   எ ன் ன ன்னு டி ரே ் பண்ணிக்க லாம் ஃபோ ன   பா க் ்க  பண் ்   
57, ந ல்   பா ர்க்  வ ன் றா ரு ங்க   
58, உ ் சே ஷ் ட ்   ்   
59,த ் தொ லி ல் த ர்   
60, வ ர ஷ ட கா த ல் கலா   சொ ல்லு ங் ச ர்   
61, ்  
62, ச ர ப்ப   வ ரு ஷா   லெ வ ன்   சிக்ஸ்டெண்ட்ரெ ட்   வ ரு ஷா  தான க் கு   அ வ ங்க  ஃபா த ர ் தா ன ே  பே சு ற து   
63,எ ன்ன   செ ல் க ர்   
64, ரெ ண்டு   நா ள்  லி வி டா ள்   கே க்கு றீ ங்க ள   சா ர்   
65,  உ ங்க ளு க்கே   தெ ரி யு ம ்   லெ வ ன் து  ஸ் டா ண்டர்ட்  ப டி க்கி றா ங்க   இ ப்ப   போ ஷ ன்ஸ் ல லா ம   டு வெ ல்த்   கோ ஷ ன் கு   ஸ ் டார்ட் பண் ணி யா ச்சு ங்க  சா ர்    இ ப் ப   போ ய்   ரெ ண்டு   நா ள்   லீ வ்  வே ணு ம்ன ு  கே க்கு ற து  வ ந் து   அ வ ங் க ளுக்கு  தான்  டி ஃபி க ல்ட் டா  இருக்கு ம்   
66,ரொ ம்ப  மு க்கி ய மா ன  வி ஷ ய மா   இரு ந் தா   நீ ய   
67, த ்  
68, ப தி ் தா ்   
69, ரி இ ப்ப   வீ ட் ல   உம் ம்   
70, ப்ப  பா ப்பா  வீ ட் ல  த னி யா  வி ட் டு ட்டு  போ ற து க்கு  உ ங்க ளு க்கு  பி ரா ப் ள மா  இரு க்கு து  அப் டி ன் னா   நா ன ்  இ ங்க  ஹா ஸ ் ிட ல் ்ல  கூ ட   கே ட்டு  உ ங்க ளுக ்கு  ப ர் மி ஷ ன்  வா ங்கி   த ரே ன்   நீ ங்க  இங்க  கூட  வி ட்டு ட்டு  போ லா மே ங்க  சா ர்   அ ப் டிய  தா து  தி ங் பண்ணி  பா ரு ங்க ளா   
71, ச ரி ப் ப  இ ப்ப  நீ ங்க   நா ர் ம ல்   கிளா ஸ் வ ஸ் ஸ னா   நீ ங் க   கே க்கு ற து  நஞா ய மா  இரு க்கு ம்  ச ரி   இ ப்ப ச ப போ ஸ்  எ க் ஸா ம்ஸ்   க ட ந்துட்டு  இருந்த து னா  என்ன  பண் ற து ங்க  சா ர்   எ க் ஸா ம்ஸ்  அ ந்த   டை ம் ல  நீ ங் க  கே க்கு ற  டை ம் ல   கிளா ஸ்   டெ ஸ்ட்  எ தா வ து  சொல்லி ருக்கா ங்க ளா  ம த் த  ச ப் ஜெ க்ட்  டா ் ே ன்னு  தெ ரி ய ல   
72,இ் நா ன ் வ ந் து  க ம்பி யூட்டர ் சை ன்ஸ் எடுத்து ட்ட ு ருக்கே ன்  இ ப்ப  ஃ பி சி க ஸோ   கெ மி ஸ் டி யோ  எ க் ஸா ம்   எ தா வ து  சொல்லி ரு ந் தா ங்க னா   ந் த   டெ ஸ்ட்  எப் டின்ன ு சொல் ி எ ழு த்து ற து   
73, அது   வ ந் து  அ ந் த  ப ர ்ட்டிகு ல ர்  ச ப் ஜெ க்ட்ஸ டா ஸ் கிட்ட  தா ன்   சார்  ந ம்ம  கே க்க  மு டி யு ம்   அ வ ங்க   எ ன்ன  சொல்லி ருக்கா ங்க  எ தா வ து   அ சை ன் மெண்ட் குடுத்து ருக்கா ங்களா   இ ல்ல   டெ ஸ்ட்   எ தா வ து  வை க்கி றா ங்க ளா ன்னு தெ ரி ய ல   
