id,wh
1,எனக்கு வரைய பிடிக்காத நாளுன்னு ஒண்ணுமே இல்ல ஏதாவது ஒரு படம் வரையும்போது வந்து ஏதாவது வீட்ல ஏதாவது வேலை சொன்னாங்கன்னா அப்ப எனக்கு ஏன்னா நம்ம படத்த வந்து இன்ட்ரஸ்ட்டா வரையும்போது
2,அதுக்கேத்த மாதிரி இந்த வேலை செய்ய அந்த வேலை செய்யனும்னு சொல்லும்போது அது ஃபுல்லாவே பினிஷிங்கா பண்ண முடியாது
3,இதனால வந்து கொஞ்சம் அதிகமா கோவப்பட்டு இருக்கேன் ஆனா வந்து எங்க வீட்டுக்காரங்க வந்து
4,நீ வந்து உனக்கு எதுல வந்து உனக்கு இன்ட்ரஸ்ட்டா இருக்குதோ அத நீ பண்ணு அப்டின்னு சொல்லி அவங்க ஃபுல் சப்போர்ட் வந்து பண்ணுவாங்க
5,அவங்க சப்போர்ட் இருக்கறதுனால வந்து நான் பெரிசா எதுவுமே கண்டுக்க மாட்டேன் நான் இப்போதைக்கு வந்து நான் நிறைய டிராயிங் வந்து வரைஞ்சு வச்சிருக்கேன் அது பாக்கும்போதெல்லாம் வந்து இது நம்ம வரைஞ்சு போடும் அப்டின்னு சொல்லி நான் குழந்தைகிட்ட காமிச்சிட்டு நான் ரொம்ப சந்தோஷப்படுவேன்
6,இதனால வந்து எனக்கு ஒரு வேலை எந்த வேலை இருந்தாலும் நான் ஃபர்ஸ்ட் வந்து டிராயிங் வந்து வர்த்திதான் வந்து அதுக்கேத்த மாதிரி வந்து நான் அந்த வேலை வந்து செய்வேன் இதனால் வந்து யார் என்ன சொன்னாலும் பரவால்ல அக்சப்ட் பண்ணிட்டு நான் போயிட்டே இருப்பேன்
7,சின்ன குழந்தையா இருக்கும்போது சின்ன வயசுல கார்டனிங் தோட்டமிட்டர் இருக்கு ஆரம்பிச்சிட்டேன் ஏழையர்கள் செடியோடு அப்போது ரொம்ப பிடிக்கும் அதே மாதிரி
8,சின்ன சின்ன செடி பூச்செடிகள் அந்த மாதிரி வழக்கம் அது மட்டும் இல்லாம தாவரம் வந்து ரெண்டு தாவரங்கள் ஒட்டு ஒட்டுவிட்டு தாவரங்கள் அந்த மாதிரி சின்ன புள்ளை வந்து பாத்து
9,யூடியூபில் பாத்து மொபைல் பாத்து வழக்கம் மாடித்தோட்டம் வைக்கிறது ரொம்ப பிடிக்கும் பக்கத்துல உள்ள பாத்து இன்ஸ்பையர் வழக்கம் எனக்கு ரொம்ப பிடிக்கும் மாடித்தோட்டம் தான் அதே மாதிரி
10,படித்துள்ளது கொடிய வளர் தாவரங்கள் பிறக்கங்கள் அந்த மாதிரி அது மட்டுமில்லாம குத்திகள் அந்த மாதிரி தக்காளி
11,சின்ன குழந்தைக்கு இப்படி எனக்கு எப்போதுமே பக்கத்துல பாத்து பாத்து மாதிரி ரொம்ப பிடிக்கும் ரொம்ப பிடிக்கும்
12,குட் டயட் கறுப்பு அரிசி விலை சந்தை விலைக்கு ஏற்றவாறு இல்லை
13,ஹலோ
14,ஆமா
15,ஆஹ் ஆமா ஆமா சொல்லுங்க
16,ஆஹ்
17,ஆனா ஈவ்னிங் போல வரும் இப்ப வேற ஒர்க் இருக்கேன்
