id,w2v
1,
2,
3,जकककक
4,ककककककककककक करक
5,
6,करकर
7,
8,
9,
10,
11,
12,
13,अब खर्चा के साबसे तो लगभग लगभग तीन तीन से साढ़े तीनचार हजार के लगभग लग झाए रवाई क्योंकि उसमें उपकरण भी उपयोग होएंगे ऐसे साब से
14,मैंने मित्रा परबोसक्वाइडकंपोस्ट <unk><unk> के लिए रुपये <unk><unk><unk> का ऑर्डर दिया है क्या आप दो बार जाँच कर सकते हैं कि सबकुछ सही है या नहीं
15,ाँ मैंने फूनी को किया था कुर फाम औरएक मेन कुस साइकिल ची थी
16,सुनना ही तुरानत वी मर को सातार हजार तककर कोई है तो बता तो बता दी जी रहे
17,होें तो ठीक है न नहीं है तो हमको भेज दीजिया और आम देखकर बतादे ै ठीक ह अमकु जल्दी भेज दीजिए
18,सिमस्त्री को उसी अवदाहरणा के साथ बनाया गया िसं इससे पहले के खेल बने थे
