id,w2v
1, મ ેં   જ ્ય ા ર ે   મ ા ર ા   મ ો બ ા ઇ લ   ની  અ ં દ ર   ઓ ન લ ા ઇ ન   એ પ ્લિ ક ે શ ન મા ં થ ી   મ ા ર ી   પ ્ર થ મ   પ્રો ડ ક્ટ   ખ ર ી ી  હ ત ી   ત ે  પ ્ર ો ડ ક્ ટ  હ ત ી     મ શ ી 
2, ી ક્વો લ િ ટ ી   ખ ૂ બ   સ ા ર ી  હ ત ી   બ ષ ો ા ન 
3, ર ે લ મ ા ં   વ ધ ા ર ા ન ું   દ બ ા ણ   આ પ વ ું   પ ડ ત ુ ં  ન હો ત ું   ર ે લ   સ ્ મ ૂ થ થ ી   રી ત ે   ઓ લ   પ ા ડ ત ી   હ ત ી   અ ન ે   ક ા મ   ક ર ત ી   હ ત ી   
4,   
5, ઘ ણ ા  બ ધ ા છ ો   હ ો ય   છ ે   ક ે   જ ે   
6, એ ે ન ા   મ ૂ ળ મ ા ં થ ી   અ ન ્ ય   છ ો ડ   પ ન   ક ર ત ા  હ ો ય   છ ે   ત ે દ ક ર ત ા  હ  છ ે   ત ે ન ું અ ં ક ુ ર ણ   થ ત ું  હો ય  છ ે   
7, જ ા ર ી   જ ્યા રે   સ ં પ ૂ ર્ ણ  ર ી ત ે   વ િ ક સ િ ત   થ ઈ  જ ા ય   ત ્યા ર ે   ફ ર ી થ ી   ત ે ન ુ ં   સ્ થ ા ન   ફ ે ર ફ ા ર   ક ર ી   અ ન ે   અ ન ્ય   સ ્થ ા ન  ઉ પ ર   અ ન ે ક   ત ે ર ો   ર ૂ પ વ ા મ ા ં  આ વ ે   જ ે થ ી   ક ર ી ન ે   એ ક   ન વ ી   પ ્રો ડ ક્ ટ   મ ળ ે  આ પ ડ ે ન ે   અ ન ે   બ ી જ ા   ન વ ા   સ ો ડ   વ િ ક સ િ ત   પ ણ   ક ર વ ા મ ાં  આવ ે   ત ો  એ ક   સ િ મ્ પ લ  અ ન ે   બ ે જ િ ક   ટ ે ક ન િ ક   છ ે   ક ે   એ ક   શ ો ડ મ ા ં થ ી   
8, એ ન ા   બ ી જ ન ા   ક ા ર ણ ે   અ ન ે ક   પ્ર ક ા ર ન ા   સ ુ ર ૂ પ ત ા  હ ો ય   છ ે   જ ે થ ી   ક ર ી ને   ત મ ે   સ ર ળ ત ા થ ી   ત ે ન ે   ત ્ય ાં થ ી   દ ૂ ર   ક ર ી   અ ન ે   અ ન્ય   જ ગ ્ય ા એ   ત ે ન ે   ર ૂ પ િ ત   ક ર ી   અ ન ે   ત ે નો   પ ણ   વ િ ક ા સ   ત મ ે   ક ર ી   શ ક ો   છ ો   
9, હ ે લ ો   મ હ ા લ ક ્ષ્મ ી  ટ્રા વ ે લ થ ી   વ ા ત   ક ર ો   છ ુ હ ુ ં   સ ુ મિ ત બ ા ર ૂ ડ   બ ો લ ું   છ ુ ં થ ી   આ જ ે   આ પ ણ ા ત યાં થ ી   ઓ લ ા   ા ી   
10, હ ા   વ િ સ ન ગ ર થ ી   ગ ો ઠ વ ા  જ વ ા  મ ા ટ ે   મ ેં   જ ્ય ા ર ે   બ ુ ક િંગ   ક ર ્ ું   ત ્ય ા ર ે   સ ફ ર   શ ર ૂ   થ ય ા   પ હ લ ા પ ન ી   ટ્ રા વ ે લ સ   એ જ ન ્ સ ી   સ ા થ ે   ચ ર ્ ચ ા   થ ે ી જ ે મ ો   મ ન ે   આ પ ન ી  એ જ ્ સ ી  દ્ વ ા ર ા   બ ા ળ સ ો   ર ૂ પ િ ય ા   ગ ો ઠ વ ા  સ ુ ધ ી   પ હ ો ચ ા ડ વ ા ન ા ક હ ે વ ા મા ં આ ે લ 
