id,conf
1, எனக்கு வரைய பிடிக்காத நாள்னு ஒன்றுமே இல்லை ஏதாவது ஒரு படம் வரையும்போது வந்து ஏதாவது வீட்டில் ஏதாவது வேலை சொன்னாங்கன்னா அப்போ எனக்கும் ஒரு ஏன்னமது நம்ம ஒரு படத்தை வந்து இன்ட்ரெஸ்ட்டாக வரையும் வரையும்போது
2, அதுக்கேற்ற மாதிரி வந்து ஒரு இந்த வேலை செய் அந்த வேலை செய்யனு சொல்லி சொல்லும்போது வந்து நம்ம அது வந்து ஃபுல்லாகவேஃபினிஷிங்காக பண்ண முடியாது
3, இதனால் வந்து கொஞ்சம் அதிகமாக கோவப்பிருக்கேன் ஆனால் வந்து எங்கள் வீட்டுக்காரவங்க வந்து
4, நீ வந்து உனக்கு எதில் வந்து உனக்கு இன்ட்ரெஸ்ட்டாக இருக்குதோ அதை நீ பண்ணு அப்படின்னு சொல்லி அவங்க ஃபுல் சப்போர்ட் வந்து பண்ணுவாங்க
5, அதை அவங்க சப்போர்ட் இருக்கிறதுனால வந்து நான் அதை பெருசாக எதையுமே கண்டுக்க மாட்டேன் நான் இப்போதக்கு வந்து நான் நிறைய ட்ராயிங் வந்து வரைஞ்சு வச்சுருக்கேன் அதை பார்க்கும்போதெலாம் வந்து இதை நம்ம வரைஞ்சப்படும் அப்படின்னு சொல்லி நான் என் குழந்தைகிட்ட காமிச்சுிட்டு நான் ரொம்ப சந்தோஷப்படுவேன்
6, இதனால் வந்து எனக்கு ஒரு வேலை மற்ற எந்த வேலைய இருந்தாலும் நான் அது ஃபர்ஸ்ட்டு வந்து டிராயிங் வந்து வரைஞ்சிட்டு தான் வந்து அதுக்கேற்ற மாதிரி வந்து நான் அந்த வேலையை வந்து செய்வேன் இதனால் வந்து யார் என்ன சொன்னாலும் பரவாயில்லன்ற மாதிரி அதை அக்சப்ட் பண்ணிட்டு நான் போயிட்டே இருப்பேன்
7, நான் வந்து சின்ன குழந்தையாக இருக்கும்போதலேருந்து சின்ன வயசுலேருந்தே வந்து நான் வந்து கார்டனிங் வந்து தோட்டமிட்டறதுக்கு வந்து ஆரம்பிச்சிட்டேன் ஏன் என்ப்பனா எனக்குிறது செடி வளர்கக்கது வந்து அப்பையிலேருந்தே ரொம்ப பிடிக்கும் அதே மாதிரி வந்து
8, சின்ன சின்ன செடி பூச்செடிகள் அந்த மாதிரிலாம் நான் வளர்க்க ஆரம்பித்தேன் அது மட்டும் இல்லாமல் தாவரங்கள் வந்து ரெண்டு தாவரங்கள் ஒட்டு ஒட்டு விதை தாவரங்கள் அந்த மாதிரிலாம் வந்து சின்ன பிள்ளைலையே வந்து பார்த்து
9, நான் யூடியூப்லாம் பார்ப்பேன் அம்மோட மொபைலில்ாம் அதெல்லாம் பார்த்து வந்து வளர்க்க ஆரம்பித்தேன் அதே மாதிரி மாடி தோட்டம் வைக்கிறது வந்து என எனக்கு ரொம்ப பிடிக்கும் பக்கத்து வீட்டில் உள்ளவங்களலாம் பார்த்து ஒரு மாதிரி இன்ஸ்பயர் ஆகி தான் நான் அது வளர்க்க ஆரம்பித்தேன் எனக்கு ரொம்ப பிடிக்கும் மாடி தோட்டம் தான் அதே மாதிரி
10, மாடித்தோட்டத்தில் எப்படின்னா கொடியாக வளரும் உள்ள தாவரங்கள் பாகற்காய் பீர்க்கங்காய் புடலங்காய் அந்த மாதிரி அது மட்டும் இல்லாமல் குத்தி செடிகள் மளிகைப்பூ அந்த மாதிரி அப்புறம் தக்காளி
11, மிளகாய் அந்த செடி எல்லாமேனே வந்து சின்ன குழந்தையாக இருக்கும்போதே வளர்க்க ஆரம்பிச்சிட்டேன் இப்போவும் உள்ள லாக்டவுன் அந்த பீரியடில் எல்லாமமே வந்து நான் தோட்டமி ஆரம்பித்தேன் எனக்கு வந்து எப்போதுமே தோட்டம் வந்து பக்கத்தில் உள்ளவங்க பார்த்து பார்த்து எனக்கு அந்த மாதிரி இருந்தால் ரொம்ப பிடிக்கும் அதனால் நான் வந்து தோட்டம்டுறது வந்து ரொம்ப பிடிக்கும் அதனால் வளர்க்க ஆரம்பிச்சிட்டேன்
12, குட் டயட் கருப்பு அரிசி விலை சந்தை விலைக்கு ஏற்றவாறு இல்லை
13, ஹலோ
14, ஆ ஆமாம் ப
15, ஆ ஆமாம் ஆமாம் சொல்லுங்கள் என்ன சார்
16, ஆ
17, ஆ நான் ஆ ஈவினிங் போல் வரேன் ப்ரோ இப்போ வேறு ஒர்க்கில் இருக்கேன்
18, ஆ அதான் ஈவினிங் போகலாம்
19, ஆ சரி ஓகே
20, ஆ புதுசாக இப்போ க கராாம்டனில் டுொெண்ட்டி ஃபோர் வாட்டில் வந்திருக்கு
21, கிராம்டரில் டொண்ட்டி ஃபர் ்ட்ஸ் வந்துிருக்கு மெட்ரோ கம்பெனியில் வந்து ஒன்று டுொெண்ட்டி டூ ஹார்ட்ஸில் ஒன்று வந்தயிருக்கு நீங்கள் எது விருப்பப்படுறீங்களோ அதே போகலாம் கம்மி ரென்ண்டில் வேணுமா இல்லை உங்கள் ஹை பட்ஜெட்டில் வேணுமா
22, ஆவரேஜே டூல்லைன்னா நீங்கள் மெட்ரோவே போட்டுக்குங்க மெட்ரோ நூற்றி தொண்ணூறு ரூவா கிட்டே தான் வரும்
23, ஆ உங்களுக்கு எத்தனை லைட் வேணும்
24, நானூறுரூபா அந்த எமர்ஜென்சி லைட்க்குறிீங்களா
25, ஆ எனர்ஜி சேவிங்க் அது ஆர்பிட் கம்பெனிலேயும் இருக்குது கிராம்டர்ன்லேயும் இருக்குது உங்களுக்கு எதுமதாரி வேணும்
26, ஆர்பீட்ட்லயே கொடுத்துருவா அது ந நானூறுூவா வராது நானூற்றி எண்பது ரூபாய்கிட்டே வரும் அது
27, அது என்ன நாலு மண்ிநேரம் நீங்கள் ஜார்ஜ் போட்டு வச்சுக்கிங்க சிக்ஸ் ஹவர்ஸ் பேக்கஅப் கொடுக்கும்
28, ஆ அது நார்மலாக நீங்கள் காப்பார் வச்சு கூட யூஸ் பண்ணிக்கலாம்
29, ஆ நீங்கள் சார்ஜ் போட்டு ஒரு நாலு மணிநேரம் சார்ஜ் போட்டு ஏற்றி வச்சுருந்தீங்கன்னா கரந்து போய்ட்டனா அதுவாக ஏரியும்
30, அதுக்கு லைட் ஆனலே இருக்கணும் அப்படின்னலாம் அவசியம் இல்லை ஃபர்ஸ்ட்டு நீங்கள் சார்ஜ் போடுற வரைக்கும் ஒரு நாலு மணி நேரம் சார்ஜ் போடுற வரைக்கும் லைட் எரிஞ்சால் போதும் அதுக்கப்புறம் நீங்கள் ஆஃப் பண்ணவிங்க கரண்ட் போனவரையும் நீங்கள் ஆன் பண்ணால் கூட அது லைட் இருக்கும்
31, அந்த சுிச்சம ஆ அது ஏரியும்
32, அதெல்லாம் நீங்கள் நான் ஈவினிங் போல் வரேன் இப்போ நான் ஒரு ஒர்க்காக இருக்கேன் அதை முடிச்சிட்டு நான் ஈவினிங் போலல் வரேன் பார்த்து கொடுத்துறேன் நீங்கள் லொக்கேஷன் மட்டும் அனுப்பிவிடுங்க
33, ம் சரி
34, கலையாகட்டும் கைவினை பொருள்களாகட்டும் முதலில் எல்லாமே கைகளால் வரைஞ்சி
35, அது வந்து செஞ்சுக்கிட்டுருந்தாங்க இப்போல்லாம் உலக உலகளாவிய எல்லா உலகத்தில் இருக்கிற எல்லாத்தையுமே பார்த்துக்கிட்டு த்ரீ டி ஆர்ட் வந்துருச்சு த்ரீ டி மாதிரியே இப்போ நம்ம நிஜமாகவே பார்க்கற மாதிரியே எல்லாமே
36, செய்ய ஆரம்பிச்சிட்டாங்க அதே மாதிரி மதல்லல்லாம் குருகுல மாதிரி இன்னொருத்தவங்கிட்ட போய் அவங்க வீட்டிலயே இருந்து அவங்களுக்கான பணிியடிகள் செய்து தான் கலைகளை கற்றுக்கிட்டுருந்தாங்க இப்போல்லாம் அப்படி இல்லை
37, பள்ளி படிக்கிற மாதிரி பாடம் படிக்கிற மாதிரி கலைகளுக்கான பள்ளிகளும் திறக்கப்பட்டுிருச்சு நிறைய இடத்துல இப்போ கலைகள் கற்றுக்கிறதுக்காக
